PRF,amp,db,duration,pulse_duration,state,trial,window
,3.0,,0.16,,us_cont,15.0,0.0
,,30.0,0.0001,,click,8.0,
,5.5,,0.16,,us_cont,24.0,0.024
,1.5,,0.08,,us_cont,8.0,0.036
1500.0,5.5,,0.1,0.00016,us_burst,1.0,0.0
,5.5,,0.16,,us_cont,5.0,0.006
,5.5,,0.08,,us_cont,5.0,0.024
,,60.0,0.0001,,click,25.0,
,1.5,,0.16,,us_cont,4.0,0.024
,3.0,,0.08,,us_cont,22.0,0.024
,5.5,,0.16,,us_cont,27.0,0.006
,,30.0,0.0001,,click,9.0,
,3.0,,0.16,,us_cont,24.0,0.036
1500.0,5.5,,0.1,0.00016,us_burst,20.0,0.0
1500.0,3.0,,0.1,0.00016,us_burst,12.0,0.0
,5.5,,0.08,,us_cont,27.0,0.036
,1.5,,0.08,,us_cont,16.0,0.006
1500.0,1.5,,0.1,0.00016,us_burst,1.0,0.0
1500.0,5.5,,0.1,0.00016,us_burst,23.0,0.0
,,60.0,0.0001,,click,23.0,
1500.0,0.0,,0.1,0.00016,us_burst,21.0,0.0
,5.5,,0.16,,us_cont,4.0,0.0
,,70.0,0.0001,,click,21.0,
,1.5,,0.16,,us_cont,3.0,0.0
,5.5,,0.16,,us_cont,11.0,0.024
1500.0,5.5,,0.1,0.00016,us_burst,2.0,0.0
,1.5,,0.08,,us_cont,0.0,0.036
,1.5,,0.08,,us_cont,2.0,0.024
,1.5,,0.08,,us_cont,25.0,0.006
,,80.0,0.0001,,click,14.0,
,1.5,,0.16,,us_cont,12.0,0.024
,3.0,,0.16,,us_cont,25.0,0.036
,5.5,,0.16,,us_cont,2.0,0.006
,5.5,,0.16,,us_cont,25.0,0.006
,5.5,,0.08,,us_cont,0.0,0.006
,,30.0,0.0001,,click,22.0,
1500.0,0.0,,0.1,0.00016,us_burst,11.0,0.0
,5.5,,0.08,,us_cont,19.0,0.0
,1.5,,0.08,,us_cont,13.0,0.006
1500.0,0.0,,0.1,0.00016,us_burst,23.0,0.0
,5.5,,0.16,,us_cont,8.0,0.006
,1.5,,0.16,,us_cont,13.0,0.024
,3.0,,0.08,,us_cont,27.0,0.0
1500.0,5.5,,0.1,0.00016,us_burst,27.0,0.0
,3.0,,0.16,,us_cont,27.0,0.006
,1.5,,0.08,,us_cont,15.0,0.0
,1.5,,0.08,,us_cont,25.0,0.0
,5.5,,0.08,,us_cont,12.0,0.0
1500.0,1.5,,0.1,0.00016,us_burst,9.0,0.0
